event_key,name,active,event_start,event_end,event_type,event_subtype,seats,description,speakers,moderators,artists,sponsors,exhibitors,volunteers,venue,address,media_url,company,audience,subject,geo_area,tags,host_org,rsvp_url,surveys
25,Preventing Pneumonia in Hospitalized Ventilated Patients: A Literature Review,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Allied Health,,,Amanda Hughes  Sophia Dow Andrew Crist,,,,,,Cross Insurance Center,,,101,,,,"Nursing, Pneumonia, Ventilator",,,y
27,Context Effects on Ambiguous Idiom Comprehension in Older and Younger Adults,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Allied Health,,,Amy de Silva  ,,,,,,Cross Insurance Center,,,102,,,,"idiom comprehension, older adults, younger adults",,,y
165,Researching Less Restrictive Alternatives to Maine’s Regulations Governing Behavior Supports for Adults with Developmental Disabilities,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Allied Health,,,Holly Hegarty  ,,,,,,Cross Insurance Center,,,103,,,,,,,y
184,Educational Videos About Restraints and Seclusions,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Allied Health,,,Jodie Hall  ,,,,,,Cross Insurance Center,,,104,,,,"Disability Studies, Educational Videos",,,y
208,Improving Heart Failure Patient Outcomes Through In-Home Telehealth Services,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Allied Health,,,Kailey Southworth  Shelby Courtois Jillian Kerwin Sarah Magee Kailey Southworth,,,,,,Cross Insurance Center,,,105,,,,"Nursing, Heart Failure, Telehealth",,,y
229,The Effect of 8-hour and 12-hour Nursing Shifts on Nurse and Patient Health Outcomes,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Allied Health,,,Kristi Severson  Kendra Ridley Madison Cummings Courtney McEachern,,,,,,Cross Insurance Center,,,106,,,,"Nursing, shift, outcomes ",,,y
245,Assessing Diet and Exercise in Pre-diabetics,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Allied Health,,,Marisa Jolicoeur  Nyia Chituck Darcey Fraser Lindsay Nutter Rebecca Dalrymple,,,,,,Cross Insurance Center,,,107,,,,"prediabetes, exercise, diet",,,y
255,Fostering a Better Understanding of Chronic Pain Treatment Needs Through Community Engaged Research,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Allied Health,,,Melody M. Joliat  Silas Walsh David Wihry,,,,,,Cross Insurance Center,,,108,,,,"Opioid, Chronic Pain Treatment, Alternative Therapies",,,y
264,Varicose Vein Prevention in Staff Nurses,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Allied Health,,,Molly Wypyski  Ty Lacadie Alli LeClair Cassandra Andreotti,,,,,,Cross Insurance Center,,,109,,,,,,,y
275,Achieving Glycemic Control with the Administration of Sliding Scale Insulin and Basal-Bolus,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Allied Health,,,Nicole Chadwick  Hannah Folger Haley Horton Ava Leman,,,,,,Cross Insurance Center,,,110,,,,"Nursing, Diabetes Mellitus, Glycemic Control",,,y
279,Developing the State Interagency Coordinating Council for Maine Child Developmental Services,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Allied Health,,,Olivia Shaw  ,,,,,,Cross Insurance Center,,,111,,,,,,,y
352,Enhancing a Disability Advocacy Organization’s Online Capacity to Provide Families with Essential Information about Secondary Transition,Y,4-17-2018 10:30 AM,4-17-2018 12:15 PM,Poster,Allied Health,,,Taylor Harris  ,,,,,,Cross Insurance Center,,,112,,,,,,,y
353,Bathing with Chlorhexidine Gluconate to Reduce Nosocomial Infections,Y,4-17-2018 1:30 PM,4-17-2018 3:00 PM,Poster,Allied Health,,,Taylor Landry  Erika Leonard Shannon Sutton Kaitlyn Dube,,,,,,Cross Insurance Center,,,113,,,," Infection prevention, bathing, critically ill ",,,y
